20/04/2026 16:18:32,TECL,1,1577,compra,1,1577,,
24/04/2026 22:01:46,TECL,3,2568.95,compra,3,7706.85,,
02/05/2026 02:54:45,TECL,3,2417.18,venta,-3,7251.54,Venta manual (PPP),-5.90786118842328
02/06/2026 18:09:43,TSM,2,7040.16,compra,2,14080.32,,
22/04/2026 22:07:47,WMT,5,2224.79,compra,5,11123.95,,
02/06/2026 20:17:01,WMT,5,2249.34,venta,-5,11246.7,Venta manual (PPP),1.10347493471294
29/04/2026 16:27:17,XLE,2,1002.51,compra,2,2005.02,,
02/06/2026 20:17:01,XLE,2,1010.24,venta,-2,2020.48,Venta manual (PPP),0.771064627784268
02/05/2026 02:57:22,ZM,4,1679.6,compra,4,6718.4,,
02/05/2026 04:22:44,ZM,4,1656.41,venta,-4,6625.64,Venta manual (PPP),-1.38068587758989
